game_id,player_count,seat,character,score,is_winner,total_steps
338,2,0,pendingin,217,1,65
338,2,1,hemat,0,0,65
339,2,0,rakus,301,1,50
339,2,1,perisai,0,0,50
340,2,0,rakus,109,1,43
340,2,1,perisai,0,0,43
341,2,0,rakus,0,0,42
341,2,1,perisai,5,1,42
342,2,0,baja,12,1,44
342,2,1,rakus,0,0,44
343,2,0,perisai,46,1,47
343,2,1,kompor,7,0,47
344,2,0,baja,0,0,45
344,2,1,pendingin,4,1,45
345,2,0,pendingin,20,1,42
345,2,1,kompor,5,0,42
346,2,0,pendingin,10,1,42
346,2,1,rakus,0,0,42
347,2,0,pendingin,0,0,48
347,2,1,baja,20,1,48
348,2,0,hemat,5,1,63
348,2,1,pendingin,0,0,63
349,2,0,rakus,148,1,44
349,2,1,kompor,0,0,44
350,2,0,rakus,5,0,50
350,2,1,hemat,6,1,50
351,2,0,hemat,5,1,53
351,2,1,rakus,0,0,53
352,2,0,baja,4,1,42
352,2,1,perisai,0,0,42
353,2,0,kompor,2,0,45
353,2,1,rakus,125,1,45
354,2,0,hemat,5,1,56
354,2,1,rakus,0,0,56
355,2,0,kompor,5,1,41
355,2,1,rakus,0,0,41
356,2,0,baja,27,1,44
356,2,1,rakus,10,0,44
357,2,0,kompor,5,0.5,42
357,2,1,rakus,5,0.5,42
358,2,0,kompor,10,0,42
358,2,1,rakus,74,1,42
359,2,0,rakus,0,0.5,48
359,2,1,hemat,0,0.5,48
360,2,0,rakus,0,0,32
360,2,1,pendingin,8,1,32
361,2,0,rakus,0,0,50
361,2,1,hemat,10,1,50
362,2,0,kompor,5,0,42
362,2,1,perisai,77,1,42
363,2,0,kompor,5,0,36
363,2,1,perisai,8,1,36
364,2,0,pendingin,10,0,48
364,2,1,perisai,67,1,48
365,2,0,hemat,5,0.5,59
365,2,1,perisai,5,0.5,59
366,2,0,perisai,5,1,44
366,2,1,pendingin,0,0,44
367,2,0,rakus,0,0,46
367,2,1,pendingin,5,1,46
368,2,0,perisai,0,0.5,45
368,2,1,baja,0,0.5,45
369,2,0,hemat,80,1,62
369,2,1,pendingin,5,0,62
370,2,0,rakus,241,1,59
370,2,1,hemat,0,0,59
371,2,0,pendingin,134,1,50
371,2,1,kompor,5,0,50
372,2,0,kompor,10,0,34
372,2,1,pendingin,20,1,34
373,2,0,baja,40,1,44
373,2,1,rakus,0,0,44
374,2,0,kompor,10,0,44
374,2,1,baja,12,1,44
375,2,0,hemat,14,0,51
375,2,1,baja,22,1,51
376,2,0,rakus,5,0,41
376,2,1,perisai,10,1,41
377,2,0,hemat,0,0.5,44
377,2,1,baja,0,0.5,44
378,2,0,baja,19,1,41
378,2,1,pendingin,0,0,41
379,2,0,pendingin,10,0,41
379,2,1,baja,16,1,41
380,2,0,hemat,10,1,46
380,2,1,kompor,0,0,46
381,2,0,hemat,121,1,55
381,2,1,kompor,0,0,55
382,2,0,perisai,20,0,47
382,2,1,rakus,135,1,47
383,2,0,baja,10,1,40
383,2,1,pendingin,0,0,40
384,2,0,hemat,5,0.5,51
384,2,1,perisai,5,0.5,51
385,2,0,rakus,0,0.5,40
385,2,1,perisai,0,0.5,40
386,2,0,baja,32,1,43
386,2,1,rakus,10,0,43
387,2,0,pendingin,5,0,52
387,2,1,baja,6,1,52
388,2,0,pendingin,0,0.5,49
388,2,1,perisai,0,0.5,49
389,2,0,baja,13,1,46
389,2,1,kompor,12,0,46
390,2,0,rakus,0,0.5,42
390,2,1,hemat,0,0.5,42
391,2,0,baja,15,1,50
391,2,1,hemat,5,0,50
392,2,0,baja,14,0,55
392,2,1,kompor,65,1,55
393,2,0,rakus,0,0.5,42
393,2,1,perisai,0,0.5,42
394,2,0,baja,10,0,54
394,2,1,perisai,42,1,54
395,2,0,pendingin,86,1,54
395,2,1,rakus,0,0,54
396,2,0,hemat,5,0,53
396,2,1,pendingin,38,1,53
397,2,0,rakus,0,0,36
397,2,1,pendingin,10,1,36
398,2,0,perisai,168,1,54
398,2,1,baja,12,0,54
399,2,0,perisai,5,1,46
399,2,1,kompor,0,0,46
400,2,0,baja,12,1,47
400,2,1,kompor,0,0,47
401,2,0,pendingin,0,0,47
401,2,1,rakus,68,1,47
402,2,0,baja,19,1,46
402,2,1,kompor,0,0,46
